id,host_since,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
74318,2011-02-11,10.0,10.0,10.0,10.0,10.0,10.0
74716,2011-02-15,10.0,10.0,10.0,10.0,10.0,10.0
74742,2011-02-15,10.0,10.0,10.0,10.0,10.0,10.0
75174,2011-02-15,10.0,10.0,10.0,10.0,10.0,10.0
75957,2011-02-22,10.0,10.0,10.0,10.0,10.0,10.0
76391,2011-02-24,10.0,10.0,10.0,10.0,9.0,9.0
76497,2010-07-22,10.0,10.0,10.0,10.0,10.0,10.0
76501,2011-02-24,10.0,10.0,10.0,10.0,10.0,10.0
76911,2011-02-15,10.0,10.0,10.0,10.0,10.0,10.0
76925,2011-02-26,10.0,10.0,10.0,10.0,9.0,9.0
76996,2012-01-28,10.0,10.0,10.0,10.0,10.0,10.0
77347,2011-02-08,,,,,,
77635,2011-03-01,9.0,8.0,9.0,10.0,10.0,10.0
77639,2011-03-01,9.0,9.0,10.0,10.0,10.0,9.0
78035,2011-03-02,10.0,10.0,10.0,10.0,10.0,10.0
78127,2011-03-02,10.0,10.0,10.0,10.0,9.0,9.0
78422,2011-03-03,10.0,8.0,10.0,10.0,6.0,8.0
78584,2011-03-04,10.0,10.0,10.0,10.0,10.0,10.0
78731,2011-03-04,10.0,10.0,10.0,10.0,10.0,10.0
78749,2011-03-04,10.0,10.0,10.0,10.0,10.0,10.0
78831,2011-03-05,10.0,10.0,10.0,10.0,10.0,10.0
78884,2011-03-05,9.0,10.0,10.0,10.0,10.0,10.0
78898,2011-03-05,10.0,10.0,10.0,10.0,10.0,10.0
78908,2011-03-05,10.0,10.0,10.0,10.0,10.0,10.0
78974,2011-03-05,10.0,10.0,10.0,10.0,10.0,10.0
78993,2011-03-05,10.0,10.0,10.0,10.0,10.0,10.0
79100,2011-03-06,10.0,10.0,10.0,10.0,10.0,10.0
79432,2011-03-07,10.0,10.0,10.0,10.0,10.0,10.0
79768,2011-03-08,9.0,9.0,10.0,10.0,9.0,9.0
80025,2011-03-07,10.0,10.0,10.0,10.0,10.0,10.0
80725,2011-03-11,,,,,,
82033,2011-03-16,7.0,8.0,10.0,9.0,10.0,8.0
83643,2011-03-22,10.0,10.0,10.0,10.0,10.0,10.0
84771,2010-12-17,9.0,10.0,10.0,10.0,10.0,9.0
89475,2011-04-05,10.0,10.0,10.0,10.0,10.0,10.0
90898,2010-09-16,10.0,9.0,10.0,10.0,10.0,9.0
104099,2010-08-26,10.0,10.0,10.0,10.0,10.0,10.0
104386,2011-04-28,10.0,10.0,10.0,10.0,10.0,10.0
113779,2011-05-11,10.0,10.0,10.0,10.0,10.0,10.0
113791,2011-05-11,10.0,10.0,10.0,10.0,10.0,10.0
116014,2011-03-02,10.0,10.0,10.0,10.0,10.0,10.0
128326,2011-05-27,10.0,10.0,10.0,10.0,10.0,10.0
140474,2011-05-11,10.0,10.0,10.0,10.0,10.0,10.0
140504,2011-05-11,10.0,10.0,10.0,10.0,10.0,10.0
140561,2009-09-25,10.0,10.0,10.0,10.0,10.0,10.0
141550,2011-06-10,10.0,10.0,10.0,10.0,10.0,10.0
145210,2011-03-31,10.0,10.0,10.0,10.0,10.0,10.0
146153,2011-06-15,9.0,8.0,10.0,10.0,9.0,9.0
154103,2011-06-24,10.0,10.0,10.0,10.0,10.0,9.0
155359,2011-02-01,10.0,10.0,10.0,10.0,10.0,9.0
158398,2011-06-29,10.0,10.0,10.0,10.0,9.0,9.0
166561,2011-01-14,10.0,10.0,10.0,10.0,9.0,9.0
167459,2011-05-26,10.0,9.0,9.0,9.0,9.0,9.0
172104,2011-06-26,9.0,10.0,10.0,10.0,10.0,10.0
174828,2011-07-18,10.0,10.0,10.0,10.0,10.0,10.0
179885,2011-07-24,9.0,10.0,9.0,10.0,8.0,9.0
191719,2011-06-06,10.0,10.0,10.0,10.0,10.0,9.0
195674,2011-08-10,10.0,9.0,10.0,10.0,10.0,9.0
202187,2011-08-18,10.0,10.0,10.0,10.0,10.0,10.0
202753,2011-06-21,10.0,10.0,10.0,10.0,10.0,9.0
207054,2011-08-25,10.0,10.0,10.0,10.0,10.0,10.0
208897,2011-08-28,10.0,10.0,10.0,10.0,10.0,10.0
214795,2011-09-04,10.0,10.0,10.0,10.0,10.0,10.0
217637,2010-12-02,10.0,10.0,10.0,10.0,10.0,10.0
218402,2011-09-08,10.0,10.0,10.0,10.0,9.0,10.0
219168,2011-09-09,9.0,9.0,10.0,10.0,10.0,10.0
223230,2011-05-12,9.0,10.0,10.0,10.0,10.0,10.0
224603,2011-09-16,10.0,10.0,10.0,10.0,10.0,10.0
227372,2011-09-20,10.0,10.0,10.0,10.0,10.0,10.0
228217,2011-09-19,,,,,,
230976,2011-09-25,10.0,10.0,10.0,10.0,10.0,10.0
233930,2011-05-11,10.0,10.0,10.0,10.0,10.0,10.0
234194,2011-09-25,10.0,9.0,10.0,10.0,10.0,10.0
237705,2011-10-04,9.0,9.0,10.0,10.0,9.0,9.0
238657,2011-10-05,10.0,10.0,10.0,10.0,10.0,10.0
240541,2011-10-04,10.0,10.0,10.0,10.0,10.0,9.0
244785,2011-10-13,10.0,10.0,10.0,10.0,10.0,10.0
247770,2011-10-16,10.0,8.0,10.0,10.0,10.0,10.0
254232,2011-10-25,10.0,10.0,10.0,10.0,10.0,10.0
256464,2011-10-29,9.0,9.0,9.0,9.0,10.0,9.0
259845,2011-09-11,10.0,10.0,10.0,10.0,9.0,10.0
269200,2011-07-17,,,,,,
271052,2011-11-17,10.0,10.0,10.0,10.0,9.0,9.0
273064,2011-11-21,8.0,10.0,8.0,8.0,6.0,8.0
277028,2011-06-26,9.0,9.0,10.0,10.0,9.0,9.0
282342,2011-12-04,10.0,10.0,10.0,10.0,8.0,10.0
286029,2011-12-09,10.0,10.0,10.0,10.0,10.0,10.0
294708,2011-12-21,9.0,10.0,10.0,10.0,9.0,9.0
295275,2011-10-12,10.0,10.0,10.0,10.0,9.0,9.0
299282,2011-12-28,10.0,10.0,10.0,10.0,10.0,10.0
300574,2010-07-15,10.0,10.0,10.0,10.0,10.0,10.0
301701,2012-01-01,10.0,10.0,10.0,10.0,8.0,10.0
304866,2012-01-05,10.0,10.0,10.0,9.0,10.0,10.0
305392,2010-05-02,10.0,10.0,10.0,10.0,10.0,10.0
311092,2012-01-12,9.0,9.0,10.0,10.0,10.0,9.0
313400,2012-01-15,10.0,10.0,10.0,10.0,9.0,9.0
314152,2012-01-16,,,,,,
315239,2012-01-17,10.0,10.0,10.0,10.0,10.0,10.0
316630,2012-01-19,10.0,10.0,10.0,10.0,10.0,9.0
316885,2012-01-01,9.0,8.0,9.0,10.0,10.0,10.0
316886,2012-01-01,,,,,,
317148,2012-01-19,9.0,9.0,10.0,10.0,9.0,9.0
318963,2012-01-22,,,,,,
319759,2011-07-13,10.0,10.0,10.0,10.0,10.0,9.0
319887,2012-01-22,9.0,7.0,9.0,10.0,8.0,8.0
319894,2012-01-22,9.0,9.0,10.0,10.0,10.0,10.0
320161,2011-11-21,10.0,10.0,10.0,10.0,9.0,10.0
320435,2012-01-23,10.0,10.0,10.0,10.0,9.0,9.0
321069,2012-01-23,,,,,,
321636,2012-01-24,10.0,10.0,10.0,10.0,10.0,10.0
321675,2011-09-11,10.0,10.0,10.0,10.0,9.0,9.0
321718,2012-01-24,10.0,10.0,10.0,10.0,9.0,10.0
322834,2012-10-08,10.0,10.0,10.0,10.0,9.0,9.0
323733,2012-01-26,10.0,10.0,10.0,10.0,10.0,10.0
325889,2012-01-29,10.0,10.0,10.0,10.0,10.0,10.0
326839,2012-01-29,9.0,9.0,10.0,10.0,9.0,9.0
327911,2012-01-20,10.0,10.0,10.0,10.0,10.0,10.0
329172,2012-01-31,10.0,10.0,10.0,10.0,10.0,10.0
329306,2011-07-27,10.0,10.0,10.0,10.0,10.0,10.0
330301,2012-02-01,10.0,10.0,10.0,10.0,10.0,10.0
331549,2012-02-02,,,,,,
333114,2012-02-04,,,,,,
333442,2012-02-04,10.0,10.0,10.0,10.0,10.0,10.0
333810,2012-02-04,9.0,10.0,10.0,10.0,8.0,9.0
333815,2011-02-01,10.0,10.0,10.0,10.0,10.0,10.0
333856,2011-02-01,10.0,10.0,10.0,10.0,10.0,10.0
333857,2012-02-05,10.0,10.0,10.0,10.0,10.0,10.0
334554,2012-02-05,9.0,10.0,10.0,10.0,9.0,10.0
334616,2011-05-20,9.0,10.0,10.0,10.0,8.0,9.0
335945,2012-01-01,8.0,9.0,10.0,10.0,9.0,9.0
337125,2010-10-14,10.0,9.0,10.0,10.0,10.0,10.0
337149,2012-02-07,10.0,10.0,10.0,10.0,10.0,10.0
337231,2012-01-21,,,,,,
337414,2012-02-07,10.0,9.0,10.0,10.0,9.0,9.0
337560,2012-02-07,10.0,10.0,10.0,10.0,8.0,8.0
337796,2012-02-07,8.0,8.0,8.0,10.0,6.0,8.0
338117,2011-09-11,10.0,10.0,10.0,10.0,9.0,9.0
340045,2012-02-09,,,,,,
340419,2012-02-09,10.0,9.0,10.0,10.0,9.0,10.0
340710,2008-11-24,,,,,,
341382,2011-09-25,9.0,9.0,10.0,10.0,9.0,9.0
341596,2012-02-10,10.0,10.0,10.0,10.0,10.0,10.0
341624,2012-02-10,10.0,9.0,10.0,10.0,7.0,9.0
341665,2012-02-11,10.0,10.0,10.0,10.0,9.0,9.0
341909,2012-02-11,9.0,10.0,10.0,10.0,10.0,10.0
342039,2012-02-11,10.0,10.0,10.0,10.0,10.0,10.0
342243,2012-02-11,10.0,10.0,10.0,10.0,10.0,10.0
342919,2012-02-12,,,,,,
343258,2012-01-25,10.0,9.0,10.0,10.0,9.0,10.0
343462,2012-02-13,10.0,10.0,10.0,10.0,10.0,10.0
344976,2012-02-14,10.0,10.0,10.0,10.0,10.0,10.0
345221,2012-01-23,9.0,9.0,9.0,10.0,10.0,8.0
345473,2012-02-14,10.0,10.0,10.0,10.0,10.0,10.0
345536,2012-02-14,10.0,10.0,10.0,10.0,10.0,10.0
345571,2011-09-27,10.0,10.0,10.0,10.0,10.0,10.0
346316,2012-02-15,9.0,10.0,10.0,10.0,10.0,9.0
346911,2012-02-16,10.0,10.0,10.0,10.0,10.0,10.0
347342,2013-06-10,8.0,8.0,10.0,10.0,10.0,8.0
347449,2012-02-08,10.0,9.0,10.0,10.0,10.0,10.0
347654,2012-02-16,10.0,10.0,10.0,10.0,10.0,10.0
347736,2011-11-03,10.0,10.0,10.0,10.0,10.0,10.0
347802,2012-01-11,10.0,10.0,10.0,10.0,10.0,10.0
347847,2012-02-16,10.0,10.0,10.0,10.0,10.0,10.0
347935,2012-02-17,6.0,10.0,10.0,10.0,10.0,10.0
348771,2012-02-17,,,,,,
349447,2012-02-18,10.0,10.0,10.0,10.0,10.0,9.0
349635,2012-02-18,9.0,9.0,10.0,10.0,10.0,9.0
351865,2012-02-20,,,,,,
352543,2012-02-21,9.0,9.0,10.0,10.0,9.0,9.0
353261,2012-02-21,10.0,10.0,10.0,10.0,10.0,10.0
353955,2012-02-22,6.0,8.0,8.0,10.0,10.0,10.0
354263,2012-02-14,10.0,10.0,10.0,10.0,10.0,10.0
354334,2012-02-20,10.0,10.0,10.0,10.0,10.0,10.0
354513,2012-02-22,10.0,10.0,10.0,10.0,10.0,10.0
354542,2012-02-22,10.0,9.0,10.0,10.0,10.0,9.0
354569,2012-04-01,10.0,10.0,10.0,10.0,10.0,10.0
355176,2012-02-23,10.0,9.0,10.0,10.0,9.0,10.0
355232,2012-02-23,9.0,10.0,10.0,10.0,10.0,10.0
355328,2012-02-23,,,,,,
355792,2012-02-23,10.0,10.0,10.0,10.0,10.0,9.0
355800,2012-02-24,,,,,,
356575,2012-02-24,10.0,10.0,10.0,10.0,10.0,10.0
356675,2012-02-24,10.0,10.0,10.0,10.0,10.0,10.0
356719,2012-02-24,10.0,10.0,10.0,10.0,10.0,10.0
356837,2012-02-25,9.0,9.0,10.0,10.0,9.0,9.0
357472,2012-02-20,10.0,10.0,10.0,10.0,10.0,10.0
357503,2012-02-25,9.0,10.0,9.0,9.0,7.0,8.0
357529,2012-02-25,10.0,10.0,10.0,10.0,10.0,10.0
358164,2012-02-26,10.0,10.0,10.0,10.0,10.0,10.0
358276,2011-09-15,10.0,10.0,10.0,10.0,10.0,10.0
358643,2012-02-26,,,,,,
358675,2012-02-26,10.0,10.0,10.0,10.0,10.0,10.0
359425,2012-02-27,9.0,8.0,10.0,10.0,10.0,9.0
359716,2012-02-27,10.0,10.0,10.0,10.0,10.0,10.0
359970,2012-02-27,10.0,10.0,10.0,10.0,10.0,10.0
360156,2011-02-03,9.0,9.0,10.0,10.0,10.0,10.0
362460,2012-02-29,,,,,,
362525,2012-02-28,10.0,10.0,10.0,10.0,10.0,10.0
362662,2012-02-29,10.0,10.0,10.0,10.0,10.0,9.0
363040,2010-08-26,10.0,10.0,10.0,10.0,10.0,9.0
363079,2012-03-01,10.0,10.0,10.0,10.0,10.0,9.0
363944,2012-03-01,10.0,10.0,10.0,10.0,10.0,9.0
364025,2012-03-01,9.0,8.0,10.0,10.0,10.0,9.0
364121,2011-07-26,10.0,10.0,10.0,10.0,10.0,10.0
364269,2012-03-01,10.0,10.0,10.0,10.0,10.0,10.0
364402,2012-03-02,10.0,10.0,10.0,10.0,10.0,10.0
365471,2012-03-02,10.0,10.0,10.0,10.0,9.0,9.0
366403,2012-02-29,10.0,10.0,10.0,10.0,10.0,10.0
366757,2012-03-03,9.0,9.0,10.0,10.0,9.0,9.0
367356,2011-12-09,10.0,10.0,10.0,10.0,10.0,10.0
367366,2012-03-04,10.0,9.0,10.0,10.0,9.0,9.0
367445,2012-03-04,10.0,10.0,10.0,10.0,10.0,10.0
367789,2012-03-04,10.0,10.0,10.0,10.0,10.0,10.0
369090,2012-03-05,,,,,,
370115,2012-03-05,,,,,,
371539,2012-03-06,10.0,10.0,10.0,10.0,10.0,9.0
372254,2012-01-05,10.0,9.0,10.0,10.0,10.0,10.0
373636,2009-02-09,,,,,,
375142,2012-03-08,10.0,10.0,10.0,10.0,10.0,10.0
375989,2012-03-09,,,,,,
377391,2012-03-10,10.0,10.0,10.0,10.0,10.0,10.0
381238,2012-03-08,,,,,,
381240,2012-03-08,10.0,10.0,10.0,10.0,10.0,10.0
383689,2012-03-14,10.0,10.0,10.0,10.0,10.0,9.0
385526,2011-10-29,9.0,9.0,9.0,9.0,10.0,9.0
385602,2012-03-15,,,,,,
403090,2012-02-14,10.0,10.0,10.0,10.0,10.0,10.0
406911,2012-01-25,10.0,10.0,10.0,10.0,10.0,10.0
412290,2012-02-09,10.0,9.0,10.0,10.0,9.0,9.0
416296,2012-04-04,,,,,,
424279,2011-10-11,10.0,10.0,10.0,10.0,10.0,9.0
429368,2011-03-04,9.0,10.0,10.0,10.0,10.0,10.0
430683,2012-04-14,10.0,10.0,10.0,10.0,10.0,10.0
433996,2012-04-17,10.0,10.0,10.0,10.0,10.0,10.0
435211,2012-01-23,10.0,10.0,10.0,10.0,10.0,10.0
438411,2012-04-19,10.0,10.0,10.0,10.0,9.0,10.0
442720,2012-04-23,10.0,9.0,10.0,10.0,10.0,10.0
442757,2012-04-23,10.0,10.0,9.0,10.0,7.0,9.0
445931,2012-04-24,10.0,10.0,10.0,10.0,10.0,10.0
449710,2012-03-03,,,,,,
455978,2012-04-23,10.0,9.0,10.0,10.0,10.0,10.0
461404,2011-08-25,10.0,9.0,10.0,10.0,10.0,10.0
474007,2009-10-31,,,,,,
479197,2012-03-13,10.0,9.0,10.0,10.0,10.0,10.0
485360,2012-05-17,10.0,10.0,10.0,10.0,10.0,10.0
490139,2012-05-15,10.0,10.0,10.0,10.0,9.0,9.0
501861,2012-05-27,10.0,10.0,10.0,10.0,10.0,10.0
508203,2011-06-03,10.0,10.0,10.0,10.0,10.0,10.0
509270,2012-04-23,8.0,9.0,10.0,9.0,7.0,8.0
509833,2012-05-31,10.0,10.0,10.0,10.0,10.0,10.0
510168,2011-07-08,10.0,9.0,10.0,10.0,10.0,9.0
517378,2012-06-04,,,,,,
517430,2012-06-04,10.0,10.0,10.0,10.0,10.0,10.0
521689,2012-06-06,10.0,10.0,10.0,10.0,9.0,10.0
522136,2012-06-06,10.0,10.0,10.0,10.0,10.0,10.0
524150,2012-02-07,6.0,6.0,6.0,8.0,2.0,4.0
525231,2012-05-31,10.0,10.0,10.0,10.0,9.0,10.0
528338,2012-06-10,10.0,10.0,10.0,10.0,10.0,10.0
533538,2012-04-22,10.0,9.0,10.0,10.0,10.0,9.0
539839,2012-05-28,9.0,9.0,10.0,10.0,10.0,9.0
540377,2011-08-18,10.0,10.0,10.0,10.0,10.0,10.0
541267,2012-06-17,8.0,8.0,9.0,10.0,8.0,8.0
542124,2012-05-24,10.0,10.0,10.0,10.0,10.0,10.0
557773,2012-02-05,10.0,10.0,10.0,10.0,10.0,10.0
560094,2012-12-05,10.0,10.0,10.0,10.0,10.0,9.0
563735,2012-06-28,10.0,10.0,10.0,10.0,10.0,10.0
568456,2009-05-12,9.0,10.0,9.0,9.0,10.0,9.0
577499,2012-07-05,10.0,10.0,10.0,10.0,10.0,10.0
585041,2012-02-06,10.0,10.0,10.0,9.0,9.0,9.0
586609,2012-06-28,10.0,10.0,10.0,10.0,8.0,8.0
587572,2013-08-06,10.0,9.0,10.0,10.0,10.0,10.0
592924,2012-07-12,10.0,10.0,10.0,10.0,10.0,10.0
592958,2012-07-13,10.0,10.0,10.0,10.0,10.0,10.0
593102,2012-07-06,10.0,10.0,10.0,10.0,10.0,9.0
600543,2012-07-14,9.0,9.0,10.0,10.0,9.0,10.0
602877,2011-10-12,9.0,7.0,10.0,10.0,10.0,7.0
603084,2011-10-12,10.0,10.0,10.0,10.0,9.0,9.0
606351,2012-07-20,10.0,10.0,10.0,10.0,10.0,10.0
607536,2012-06-04,10.0,9.0,10.0,10.0,9.0,10.0
609427,2009-03-18,10.0,10.0,10.0,10.0,10.0,10.0
609618,2012-07-19,10.0,10.0,10.0,10.0,10.0,10.0
620532,2011-07-11,10.0,10.0,10.0,10.0,10.0,10.0
622030,2011-06-26,9.0,10.0,10.0,10.0,8.0,9.0
622062,2011-03-12,10.0,10.0,10.0,10.0,10.0,10.0
622495,2009-04-06,10.0,10.0,10.0,10.0,10.0,9.0
623679,2012-07-29,10.0,10.0,10.0,10.0,10.0,10.0
628034,2012-05-22,10.0,10.0,10.0,10.0,10.0,10.0
631071,2012-07-30,10.0,10.0,10.0,10.0,10.0,10.0
632659,2012-08-03,10.0,10.0,10.0,10.0,10.0,10.0
633127,2012-08-03,9.0,9.0,10.0,10.0,10.0,9.0
634224,2012-08-04,9.0,10.0,10.0,10.0,9.0,10.0
644051,2012-08-10,10.0,10.0,10.0,10.0,10.0,10.0
644773,2009-03-18,10.0,10.0,10.0,10.0,10.0,10.0
644895,2012-08-11,10.0,10.0,10.0,10.0,9.0,10.0
646358,2012-08-12,10.0,10.0,10.0,10.0,9.0,9.0
646392,2012-04-05,10.0,10.0,10.0,10.0,10.0,10.0
649833,2012-08-14,10.0,8.0,10.0,10.0,10.0,6.0
651705,2012-04-23,7.0,7.0,9.0,6.0,10.0,5.0
656290,2012-04-23,9.0,9.0,9.0,9.0,10.0,9.0
658066,2012-08-06,,,,,,
659787,2012-07-04,10.0,10.0,10.0,10.0,10.0,10.0
660425,2012-08-21,10.0,10.0,10.0,10.0,10.0,10.0
662226,2011-04-28,10.0,10.0,10.0,10.0,10.0,10.0
662245,2012-08-22,9.0,6.0,9.0,9.0,8.0,6.0
664013,2010-10-18,10.0,10.0,10.0,10.0,10.0,10.0
666423,2012-05-11,10.0,10.0,10.0,10.0,10.0,10.0
666768,2012-05-11,10.0,10.0,10.0,10.0,9.0,10.0
667769,2012-08-26,9.0,9.0,10.0,10.0,10.0,9.0
668208,2012-08-26,10.0,10.0,10.0,10.0,10.0,10.0
668239,2012-08-26,10.0,10.0,10.0,10.0,10.0,10.0
668301,2012-07-09,10.0,10.0,10.0,10.0,10.0,10.0
668873,2012-02-06,10.0,9.0,10.0,10.0,10.0,10.0
669469,2012-08-27,10.0,9.0,10.0,10.0,10.0,9.0
669923,2012-02-06,10.0,9.0,10.0,10.0,10.0,10.0
673379,2012-04-19,10.0,10.0,10.0,10.0,10.0,9.0
675759,2012-08-31,10.0,10.0,10.0,9.0,10.0,10.0
676107,2012-08-31,10.0,10.0,10.0,10.0,10.0,10.0
676554,2012-08-21,10.0,10.0,10.0,10.0,10.0,10.0
676959,2012-08-31,10.0,10.0,10.0,10.0,9.0,10.0
679736,2012-02-29,9.0,9.0,10.0,10.0,8.0,9.0
681118,2012-09-04,10.0,10.0,10.0,10.0,10.0,10.0
683558,2012-09-05,,,,,,
685361,2012-09-06,10.0,10.0,10.0,10.0,10.0,9.0
685447,2012-01-05,9.0,9.0,9.0,9.0,9.0,9.0
685448,2012-01-05,9.0,9.0,10.0,10.0,10.0,10.0
685451,2012-01-05,10.0,9.0,10.0,10.0,9.0,10.0
686463,2010-12-02,10.0,10.0,10.0,10.0,10.0,9.0
687495,2012-09-02,,,,,,
687675,2012-09-08,10.0,9.0,10.0,10.0,9.0,9.0
690984,2012-09-10,10.0,10.0,10.0,10.0,10.0,10.0
692058,2012-09-11,10.0,9.0,9.0,9.0,9.0,9.0
692220,2012-09-11,10.0,9.0,10.0,10.0,10.0,9.0
693890,2012-09-12,,,,,,
698082,2012-09-15,10.0,10.0,10.0,10.0,10.0,10.0
699018,2012-09-16,9.0,9.0,10.0,10.0,10.0,9.0
699485,2012-09-16,,,,,,
700855,2012-04-24,10.0,10.0,10.0,10.0,10.0,9.0
701032,2012-09-17,10.0,10.0,10.0,10.0,10.0,10.0
701159,2012-06-20,10.0,9.0,10.0,10.0,10.0,9.0
701300,2012-09-17,,,,,,
701392,2012-04-23,10.0,10.0,10.0,10.0,10.0,10.0
701948,2009-08-21,10.0,10.0,10.0,10.0,9.0,9.0
702294,2011-11-06,10.0,10.0,10.0,10.0,10.0,9.0
702474,2012-09-18,,,,,,
702785,2012-09-18,8.0,10.0,10.0,10.0,6.0,6.0
702825,2012-09-18,10.0,9.0,10.0,10.0,10.0,10.0
702970,2012-09-18,,,,,,
704372,2012-09-19,10.0,10.0,10.0,10.0,10.0,10.0
704589,2012-09-19,10.0,10.0,10.0,10.0,10.0,10.0
704738,2012-06-04,10.0,10.0,10.0,10.0,10.0,9.0
705858,2012-09-20,10.0,10.0,10.0,10.0,10.0,10.0
706950,2012-09-21,,,,,,
710276,2011-09-25,10.0,10.0,10.0,10.0,10.0,10.0
711149,2012-09-24,,,,,,
711715,2012-09-24,,,,,,
714115,2012-09-26,,,,,,
714922,2012-08-18,10.0,10.0,10.0,10.0,10.0,10.0
715471,2012-09-26,10.0,10.0,10.0,10.0,10.0,9.0
716119,2012-09-18,10.0,10.0,10.0,10.0,10.0,9.0
716894,2011-08-26,10.0,10.0,10.0,10.0,9.0,9.0
717042,2012-09-27,10.0,10.0,10.0,10.0,10.0,10.0
718929,2012-09-29,10.0,10.0,10.0,10.0,10.0,10.0
720315,2011-02-15,10.0,10.0,10.0,10.0,10.0,10.0
720369,2012-09-30,10.0,10.0,10.0,10.0,10.0,10.0
723029,2012-10-02,10.0,10.0,10.0,10.0,10.0,9.0
723826,2012-02-14,10.0,10.0,10.0,10.0,9.0,10.0
723842,2012-09-25,10.0,9.0,10.0,10.0,10.0,9.0
723950,2012-10-03,10.0,10.0,10.0,10.0,10.0,10.0
727593,2012-10-05,10.0,10.0,10.0,10.0,10.0,10.0
727662,2011-09-21,10.0,10.0,10.0,10.0,10.0,9.0
727715,2012-10-05,10.0,10.0,10.0,10.0,10.0,10.0
727748,2012-10-05,10.0,9.0,10.0,10.0,10.0,9.0
728728,2012-10-06,10.0,10.0,10.0,10.0,9.0,10.0
729271,2012-10-07,9.0,10.0,10.0,10.0,9.0,9.0
729337,2012-10-07,,,,,,
729648,2012-08-03,10.0,9.0,10.0,10.0,10.0,9.0
731070,2012-10-08,10.0,10.0,10.0,10.0,10.0,10.0
733161,2012-07-24,10.0,10.0,10.0,10.0,10.0,10.0
733203,2012-10-10,10.0,10.0,10.0,10.0,10.0,10.0
733965,2012-10-07,10.0,10.0,10.0,10.0,10.0,10.0
734163,2012-10-10,,,,,,
734488,2012-03-05,10.0,10.0,10.0,10.0,10.0,10.0
734494,2012-06-14,,,,,,
735226,2012-10-11,10.0,9.0,10.0,9.0,10.0,8.0
735659,2012-10-11,,,,,,
735775,2012-07-21,,,,,,
736238,2012-10-11,10.0,10.0,10.0,10.0,10.0,10.0
736279,2012-10-11,10.0,10.0,10.0,10.0,10.0,10.0
738513,2012-02-26,10.0,9.0,10.0,10.0,9.0,10.0
738553,2012-02-26,9.0,9.0,10.0,10.0,10.0,10.0
742593,2012-07-07,10.0,10.0,10.0,10.0,10.0,10.0
744442,2012-10-17,,,,,,
744480,2012-10-17,,,,,,
